SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
1,373-52646,0,,FIXED PLATE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,0,0,4,4,4,4,4,4,4,#N/A,0,,,4,4,4,4,4,4,4,,SGCC,1,2.00,36.60,226.00,0.13,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,3,,,,,,,,,,,
,,,SE-FH M3-6,StudM3X6,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,0,,,4,4,4,4,4,4,4,,MS,1,1.20,,,,,,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,,,,,,,,,,,,,,,
3,373-52884,0,,L FRAME,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,0,2,2,2,2,2,2,2,#N/A,0,,,2,2,2,2,2,2,2,,SGCC,1,3.00,105.50,540.00,1.34,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,1,,,,,,,,,,,
4,373-52898,0,,FAN FIXED PLATE,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,698.00,355.00,2.92,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,8,,,,,,,,,,,
5,373-52903,,,LCD FIXED PLATE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,,1,1,#N/A,0,,,,,,,1,1,,EN327N,SGCC,1,1.20,152.00,462.10,0.66,0.14,0.03,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,,,,4,,,,Y,,,,,,,
6,373-53322,,,Z FRAME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,Z FRAME(F) 1392S  EATON,1,1,1,1,1,1,1,1,1,1,,SGCC,1,2.50,63.00,15.00,0.02,,,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts * Wire Rack,,,,2,,,,,,,,,,,
7,373-55204,0,,BRACKET(DOOR) 1392S EATON PPC-250-M4,3,3,3,3,3,6,6,6,6,6,6,6,6,3,6,6,3,3,6,6,6,3,6,3,6,3,6,6,6,3,6,3,3,3,6,3,3,6,6,6,6,6,6,6,BRACKET(DOOR) 1392S EATON PPC-250-M4,3,3,3,6,6,6,6,6,6,6,EN327N,SGCC,1,1.50,45.00,100.00,0.05,0.01,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,Part no changeed  373-54682 to 373-55204,,2,,,Y,Y,,,,,,,
8,373-53833,4,,,4,4,8,4,4,4,4,4,8,4,4,4,4,4,8,8,4,8,4,4,4,4,8,4,8,4,8,8,4,4,8,0,0,0,4,0,0,8,8,4,0,,8,8,#N/A,0,,,,,,,8,4,,,SGCC,1,1.20,464.60,501.10,2.19,,,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,,,,0,,,Y,,,,,,,,
9,373-53834,2,,FAN FIXED PLATE,4,4,8,4,4,4,4,4,8,4,4,4,4,4,8,8,4,8,4,4,4,4,8,4,8,4,8,8,4,4,8,0,0,0,4,0,0,8,8,4,4,8,8,8,#N/A,0,,,8,8,8,4,8,4,8,,SGCC,1,1.20,235.70,531.00,1.18,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,2,,,Y,,,,,,,,
10,373-53835,B,,,8,8,16,8,8,8,8,8,16,8,8,8,8,8,16,16,8,16,8,8,8,8,16,8,16,8,16,16,8,8,16,0,0,0,8,0,0,16,16,8,0,,16,16,#N/A,0,,,,,,,16,8,,,SGCC,1,1.00,37.00,85.00,0.02,,,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,,,Y,5,,,Y,,,,,,,,
